stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.06531620002351701,,0.003915100125595927,0.06531620002351701,0.5213950001634657,0.5213950001634657,0.5732030000071973,0.8211451000533998,1.8428108000662178,right,10.0,1,1,1.3121551999356598,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
1,2,8.0,1.8539700000546873,,1.8429211000911891,1.8539700000546873,2.3555171000771224,2.3555171000771224,2.3555171000771224,2.654896000167355,2.9729525002185255,right,8.0,1,1,0.5997397999744862,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
2,2,6.0,2.9881773001980036,,2.973081200150773,2.9881773001980036,3.488150400109589,3.488150400109589,3.488150400109589,3.78840950015001,3.922911200206727,left,-6.0,1,1,0.4326333000790328,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
3,2,4.0,3.9378035000991076,,3.92302029998973,3.9378035000991076,4.4378562001511455,4.4378562001511455,4.4378562001511455,4.737979300087318,4.956333700101823,left,-4.0,1,1,0.5128028001636267,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
4,1,2.0,4.971071200212464,,4.956450400175527,4.971071200212464,5.470875800121576,5.470875800121576,5.470875800121576,5.77149479999207,6.004671800183132,left,-2.0,0,0,0.5190711999312043,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
5,1,3.0,6.020994800142944,,6.004730100044981,6.020994800142944,6.505145700182766,6.505145700182766,6.521387099986896,6.803971500135958,7.189651100197807,right,3.0,1,1,0.6736453999765217,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
6,1,3.0,7.203775700181723,,7.1898078001104295,7.203775700181723,7.704823500011116,7.704823500011116,7.704823500011116,8.00457560014911,8.272549299988896,right,3.0,1,1,0.5594649999402463,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
7,1,3.0,8.287416100036353,,8.27267470001243,8.287416100036353,8.788672600174323,8.788672600174323,8.788672600174323,9.104867300018668,9.222936500096694,left,-3.0,1,1,0.4170884999912232,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
8,1,2.0,9.238285700092092,,9.223078600130975,9.238285700092092,9.737906200112775,9.737906200112775,9.737906200112775,10.03743870020844,10.506604300113395,left,-2.0,1,1,0.7635357999242842,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
9,1,2.0,10.52130650007166,,10.506727300118655,10.52130650007166,11.02157810004428,11.02157810004428,11.02157810004428,11.321663100039586,11.50543830008246,right,2.0,1,1,0.4809998001437634,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
10,1,2.0,11.521358900004998,,11.505545200081542,11.521358900004998,12.004865700146183,12.004865700146183,12.020955000072718,12.304269100073725,12.573012300068513,right,2.0,1,1,0.5643313000909984,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
11,1,1.0,12.587683100020513,,12.573119500186294,12.587683100020513,13.088032700121403,13.088032700121403,13.088032700121403,13.388118300121278,13.65673160017468,left,-1.0,1,1,0.5651702999603003,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
12,1,1.0,13.671401800122112,,13.6568650000263,13.671401800122112,14.171168000204489,14.171168000204489,14.171168000204489,14.470928700175136,14.672769500175491,left,-1.0,1,1,0.48422899981960654,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
13,1,1.0,14.687864000210539,,14.672901600133628,14.687864000210539,15.171708500012755,15.171708500012755,15.188402600120753,15.471442800015211,15.706906400155276,right,1.0,1,1,0.5271319001913071,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
14,0.5,1.0,15.722075900062919,,15.707045400049537,15.722075900062919,16.221200700150803,16.221200700150803,16.221200700150803,16.521813000086695,16.53806810011156,right,1.0,0,0,0.31254700012505054,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
15,0.5,1.5,16.554063100134954,,16.538124500075355,16.554063100134954,17.038921100087464,17.038921100087464,17.05540080019273,17.355319400085136,17.622615300118923,right,1.5,1,1,0.566749099874869,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
16,0.5,1.5,17.637807900086045,,17.622741100145504,17.637807900086045,18.138012000126764,18.138012000126764,18.138012000126764,18.438052400015295,18.48993040015921,right,1.5,0,0,0.34657039982266724,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
17,0.5,2.0,18.50505440006964,,18.4900621001143,18.50505440006964,19.0046817001421,19.0046817001421,19.0046817001421,19.304278100142255,19.33916630013846,left,-2.0,0,0,0.31957479985430837,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
18,0.5,2.5,19.35422269999981,,19.339248100062832,19.35422269999981,19.838098500156775,19.838098500156775,19.854894400108606,20.13743590004742,20.223514400189742,right,2.5,0,0,0.3709871000610292,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
19,0.5,3.0,20.238250700058416,,20.223717600107193,20.238250700058416,20.738095400156453,20.738095400156453,20.738095400156453,21.037718300009146,21.171702300198376,right,3.0,1,1,0.41718129999935627,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
20,0.5,3.0,21.18793600006029,,21.171792600071058,21.18793600006029,21.671526100020856,21.671526100020856,21.688087000045925,,21.75685210013762,left,-3.0,0,0,0.08139749988913536,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
21,0.5,3.5,21.771154300076887,,21.75695910002105,21.771154300076887,22.271405100123957,22.271405100123957,22.271405100123957,,22.35604410013184,left,-3.5,0,0,0.07784989988431334,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
22,0.5,4.0,22.37106420006603,,22.35612710006535,22.37106420006603,22.87236460018903,22.87236460018903,22.87236460018903,,22.889812600100413,left,-4.0,0,0,0.01372399996034801,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
23,0.5,4.5,22.90406860015355,,22.88993790000677,22.90406860015355,23.40478070010431,23.40478070010431,23.40478070010431,,23.45476090000011,left,-4.5,0,0,0.04215989983640611,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
24,0.5,5.0,23.47076960001141,,23.454819800099358,23.47076960001141,23.95511840004474,23.95511840004474,23.971677400171757,,24.090173500124365,right,5.0,1,1,0.13036700012162328,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
25,0.5,5.0,24.103728200076148,,24.09029520000331,24.103728200076148,24.60510450019501,24.60510450019501,24.60510450019501,24.904541700147092,25.00636100000702,right,5.0,0,0,0.3922060001641512,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
