stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
26,0.5,5.5,25.02094399998896,,25.006480999989435,25.02094399998896,25.520995600149035,25.520995600149035,25.520995600149035,,25.6561709002126,left,-5.5,1,1,0.12579240021295846,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
27,0.5,5.5,25.671926900045946,,25.656268800143152,25.671926900045946,26.155173500068486,26.155173500068486,26.171747400192544,26.455488700186834,26.639609800186008,right,5.5,1,1,0.47154129995033145,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
28,0.5,5.5,26.65428250003606,,26.63976290007122,26.65428250003606,27.154588600154966,27.154588600154966,27.154588600154966,,27.322220900096,left,-5.5,1,1,0.1600467001553625,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
29,0.5,5.0,27.33791620004922,,27.32233400014229,27.33791620004922,27.820746200159192,27.820746200159192,27.837939199991524,,27.956384300021455,left,-5.0,0,0,0.1283607000950724,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
30,0.5,5.5,27.971550800139084,,27.95647820015438,27.971550800139084,28.47136970004067,28.47136970004067,28.47136970004067,,28.49107290012762,left,-5.5,1,1,0.012302599847316742,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
31,0.5,5.5,28.516777700046077,,28.4912150001619,28.516777700046077,29.004879800137132,29.004879800137132,29.021842300193384,29.304098500171676,29.457230200059712,right,5.5,0,0,0.4463142000604421,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
32,0.5,6.0,29.471457100007683,,29.457381500164047,29.471457100007683,29.97162640001625,29.97162640001625,29.97162640001625,30.27144949999638,30.2903181000147,right,6.0,0,0,0.3147982000373304,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
33,0.5,6.5,30.304856500122696,,30.29046710021794,30.304856500122696,30.804353800136596,30.804353800136596,30.804353800136596,,31.073377500055358,left,-6.5,1,1,0.25690499995835125,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
34,0.5,6.5,31.09191140020266,,31.0735024001915,31.09191140020266,31.588209600187838,31.588209600187838,31.604673100169748,,31.672070700209588,left,-6.5,0,0,0.07197489985264838,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
35,0.5,7.0,31.687659700168297,,31.672164499992505,31.687659700168297,32.171482800040394,32.171482800040394,32.18734950013459,32.47261370019987,32.47387920017354,right,7.0,1,1,0.2984231000300497,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
36,0.5,7.0,32.48775460012257,,32.474037600215524,32.48775460012257,32.98803900019266,32.98803900019266,32.98803900019266,33.28801930020563,33.342587799998,right,7.0,1,1,0.3409079001285136,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
37,0.5,7.0,33.354046100052074,,33.34266460011713,33.354046100052074,33.85496750008315,33.85496750008315,33.85496750008315,,34.006656900048256,left,-7.0,0,0,0.14746189978905022,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
38,0.5,7.5,34.02167670009658,,34.00679580005817,34.02167670009658,34.52082610013895,34.52082610013895,34.52082610013895,34.82136240019463,35.10670420015231,right,7.5,1,1,0.5770618999376893,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
39,0.5,7.5,35.12204150017351,,35.10683900001459,35.12204150017351,35.620556600159034,35.620556600159034,35.620556600159034,,35.70600060001016,right,7.5,0,0,0.07320019998587668,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
40,0.5,8.0,35.721079000039026,,35.706125600030646,35.721079000039026,36.22205020021647,36.22205020021647,36.22205020021647,36.521972000133246,36.55481370002963,right,8.0,1,1,0.32345469994470477,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
41,0.5,8.0,36.577067700214684,,36.55488530010916,36.577067700214684,37.05463960021734,37.05463960021734,37.08799430006184,,37.256273300154135,left,-8.0,1,1,0.1863565999083221,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
42,0.5,8.0,37.27149400021881,,37.25637560011819,37.27149400021881,37.78810770018026,37.78810770018026,37.78810770018026,,37.88996770000085,right,8.0,1,1,0.09677549987100065,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
43,0.5,7.5,37.904847600031644,,37.890088899992406,37.904847600031644,38.40459690010175,38.40459690010175,38.40459690010175,,38.55720970011316,left,-7.5,1,1,0.14960969984531403,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
44,0.5,7.5,38.571234200149775,,38.5573766999878,38.571234200149775,39.07152340002358,39.07152340002358,39.07152340002358,,39.322520200163126,right,7.5,0,0,0.2452919001225382,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
45,0.5,8.0,39.33742170012556,,39.322642900049686,39.33742170012556,39.84095870004967,39.84095870004967,39.84095870004967,,39.907258900115266,right,8.0,0,0,0.06343919993378222,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
46,0.5,8.5,39.92136780009605,,39.9074003000278,39.92136780009605,40.42189470003359,40.42189470003359,40.42189470003359,,40.459952800069004,right,8.5,1,1,0.027399000013247132,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
47,0.5,8.5,40.47005030000582,,40.46012460021302,40.47005030000582,40.971794800134376,40.971794800134376,40.971794800134376,,41.0233796001412,right,8.5,1,1,0.03495240001939237,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
48,0.5,8.5,41.03789010015316,,41.0235105000902,41.03789010015316,41.53776150010526,41.53776150010526,41.53776150010526,41.83865350019187,42.006499000126496,right,8.5,1,1,0.45699990005232394,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
49,0.5,8.0,42.021427400177345,,42.00664420006797,42.021427400177345,42.5220324001275,42.5220324001275,42.5220324001275,42.821791800204664,42.805806500138715,right,8.0,1,1,0.27464729989878833,649843,001,2024-09-06_12h27.24.690,Adaptive staircase,2024.1.5,None,2024-09-06 12h27.28.876625 +0530,
