stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.06509479996748269,,0.04977989988401532,0.06509479996748269,0.5254673999734223,0.5254673999734223,0.5772957000881433,0.8245983999222517,1.1604083999991417,left,-10.0,1,1,0.6260419001337141,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
1,2,8.0,1.174022200051695,,1.160500600002706,1.174022200051695,1.6741949000861496,1.6741949000861496,1.6741949000861496,1.974249399965629,2.4096474000252783,left,-8.0,1,1,0.7305677998811007,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
2,2,6.0,2.4244903998915106,,2.4098129998892546,2.4244903998915106,2.924154399894178,2.924154399894178,2.9407818999607116,3.224885700037703,3.4093681001104414,left,-6.0,1,1,0.48122470011003315,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
3,2,4.0,3.4237738000229,,3.409468400059268,3.4237738000229,3.9248864001128823,3.9248864001128823,3.9248864001128823,4.224347699899226,4.375644299900159,left,-4.0,1,1,0.44363419990986586,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
4,1,2.0,4.390649799956009,,4.375735400011763,4.390649799956009,4.891650700010359,4.891650700010359,4.891650700010359,5.191351500106975,5.326947400113568,right,2.0,0,0,0.43351550004445016,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
5,1,3.0,5.341461000032723,,5.32712069991976,5.341461000032723,5.842021800111979,5.842021800111979,5.842021800111979,6.14316190010868,6.392987200058997,left,-3.0,1,1,0.5434493999928236,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
6,1,3.0,6.407191999955103,,6.3931209000293165,6.407191999955103,6.90789039991796,6.90789039991796,6.90789039991796,7.2079805000685155,11.358779599890113,right,3.0,1,1,4.44356229994446,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
7,1,3.0,11.373733999906108,,11.35885399999097,11.373733999906108,11.858235799940303,11.858235799940303,11.874111300101504,,11.892165400087833,left,-3.0,0,0,0.025770500069484115,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
8,1,4.0,11.907640899997205,,11.892257600091398,11.907640899997205,12.391551499953493,12.391551499953493,12.407758600078523,12.696136200102046,12.707944399910048,right,4.0,0,0,0.31046140007674694,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
9,1,5.0,12.724153300048783,,12.708039300050586,12.724153300048783,13.224372900091112,13.224372900091112,13.224372900091112,,13.276592300040647,left,-5.0,1,1,0.04685839987359941,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
10,1,5.0,13.290942799998447,,13.276712599908933,13.290942799998447,13.791207500034943,13.791207500034943,13.791207500034943,,13.909509799908847,left,-5.0,0,0,0.11477049998939037,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
11,1,6.0,13.924097300041467,,13.909610799979419,13.924097300041467,14.42427819990553,14.42427819990553,14.42427819990553,,14.591129400068894,right,6.0,1,1,0.16457589995115995,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
12,1,6.0,14.606969600077718,,14.591185400029644,14.606969600077718,15.091085100080818,15.091085100080818,15.107892799889669,,15.210363100050017,left,-6.0,1,1,0.11708889994770288,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
13,1,6.0,15.224193200003356,,15.210489599965513,15.224193200003356,15.724461799953133,15.724461799953133,15.724461799953133,,15.859118900028989,left,-6.0,0,0,0.12014650017954409,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
14,1,7.0,15.874386799987406,,15.859213399933651,15.874386799987406,16.357856899965554,16.357856899965554,16.37442660005763,,16.592654899926856,right,7.0,0,0,0.23088050005026162,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
15,1,8.0,16.607831599889323,,16.592755800113082,16.607831599889323,17.107176000019535,17.107176000019535,17.107176000019535,,17.32569450000301,right,8.0,1,1,0.21704160002991557,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
16,1,8.0,17.340362600050867,,17.3257750000339,17.340362600050867,17.841572199948132,17.841572199948132,17.841572199948132,,18.05940659996122,left,-8.0,1,1,0.21042519994080067,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
17,1,8.0,18.074230700032786,,18.059541299939156,18.074230700032786,18.573754499899223,18.573754499899223,18.573754499899223,,18.742160399910063,left,-8.0,0,0,0.15165570005774498,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
18,1,9.0,18.757749899988994,,18.742276899982244,18.757749899988994,19.2577168000862,19.2577168000862,19.2577168000862,,19.27649619989097,left,-9.0,1,1,0.006707299966365099,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
19,1,9.0,19.291120999958366,,19.276630599983037,19.291120999958366,19.790900999912992,19.790900999912992,19.790900999912992,,19.908911099890247,right,9.0,1,1,0.1153939999639988,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
20,1,9.0,19.924144600052387,,19.909005800029263,19.924144600052387,20.42432660004124,20.42432660004124,20.42432660004124,,20.509095899993554,left,-9.0,1,1,0.07279130001552403,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
21,0.5,8.0,20.524516199948266,,20.509204800007865,20.524516199948266,21.024807800073177,21.024807800073177,21.024807800073177,,21.176259400090203,left,-8.0,0,0,0.1380269997753203,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
22,0.5,8.5,21.190441000042483,,21.17633239994757,21.190441000042483,21.692055799998343,21.692055799998343,21.692055799998343,,21.860446699894965,right,8.5,0,0,0.160112600075081,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
23,0.5,9.0,21.874539999989793,,21.86058590002358,21.874539999989793,22.374338899971917,22.374338899971917,22.374338899971917,22.67503029992804,22.692787300096825,right,9.0,1,1,0.30137400003150105,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
24,0.5,9.0,22.707609300035983,,22.69291689991951,22.707609300035983,23.207975700031966,23.207975700031966,23.207975700031966,,23.34218310005963,right,9.0,0,0,0.13096350012347102,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
25,0.5,9.5,23.357412100071087,,23.342285400023684,23.357412100071087,23.85749450000003,23.85749450000003,23.85749450000003,,24.09214169997722,left,-9.5,0,0,0.22855470003560185,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
26,0.5,10.0,24.107500300044194,,24.0922326000873,24.107500300044194,24.608112199930474,24.608112199930474,24.608112199930474,,24.776221300009638,left,-10.0,1,1,0.16502840002067387,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
27,0.5,10.0,24.790627900045365,,24.77632119995542,24.790627900045365,25.291119900066406,25.291119900066406,25.291119900066406,,25.343156999908388,right,10.0,0,0,0.050551800057291985,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
28,0.5,10.5,25.357664699899033,,25.343271000077948,25.357664699899033,25.85779229993932,25.85779229993932,25.85779229993932,,26.126268499996513,left,-10.5,0,0,0.2663624999113381,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
29,0.5,11.0,26.140604800079018,,26.126376800006256,26.140604800079018,26.64202619995922,26.64202619995922,26.64202619995922,,26.67486139992252,right,11.0,1,1,0.023216799832880497,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
30,0.5,11.0,26.690766399959102,,26.674942299956456,26.690766399959102,27.191446699900553,27.191446699900553,27.191446699900553,27.491027999902144,27.57522189989686,left,-11.0,0,0,0.373151799896732,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
31,0.5,11.5,27.590800100006163,,27.575315299909562,27.590800100006163,28.074293700046837,28.074293700046837,28.091103099985048,28.37443340010941,28.35926440008916,right,11.5,0,0,0.2722160997800529,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
32,0.5,12.0,28.37443340010941,,28.35939439991489,28.37443340010941,28.87502510007471,28.87502510007471,28.87502510007471,,28.926539799897,right,12.0,1,1,0.04989140015095472,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
33,0.5,12.0,28.940623600035906,,28.92666930006817,28.940623600035906,29.44126580003649,29.44126580003649,29.44126580003649,,29.692495200084522,right,12.0,0,0,0.24397949990816414,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
34,0.5,12.5,29.714663499966264,,29.692602100083604,29.714663499966264,30.207702900050208,30.207702900050208,30.224641599925235,,30.293247600086033,left,-12.5,1,1,0.08155380003154278,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
35,0.5,12.5,30.307464099954814,,30.29334450000897,30.307464099954814,30.80842850008048,30.80842850008048,30.80842850008048,,30.87612950010225,right,12.5,0,0,0.06568360002711415,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
36,0.5,13.0,30.89083889988251,,30.876236000098288,30.89083889988251,31.39201910002157,31.39201910002157,31.39201910002157,,31.442136900033802,left,-13.0,1,1,0.04139259993098676,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
37,0.5,13.0,31.457081499975175,,31.442215400049463,31.457081499975175,31.941247100010514,31.941247100010514,31.957951799966395,,31.99197750003077,left,-13.0,0,0,0.045688899932429194,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
38,0.5,13.5,32.00705639994703,,31.992064699996263,32.00705639994703,32.49135180003941,32.49135180003941,32.50783829996362,,32.56027180003002,right,13.5,1,1,0.06495609995909035,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
39,0.5,13.5,32.57429370004684,,32.56037599989213,32.57429370004684,33.07456579990685,33.07456579990685,33.07456579990685,,33.259640200063586,right,13.5,0,0,0.18088929983787239,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
40,0.5,14.0,33.274513399926946,,33.25977990007959,33.274513399926946,33.77447480009869,33.77447480009869,33.77447480009869,34.074402400059626,34.07537780003622,left,-14.0,0,0,0.2914803000167012,767437,001,2024-09-06_12h32.19.161,Adaptive staircase,2024.1.5,None,2024-09-06 12h32.23.104076 +0530,
