trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	fixation.stopped	grating.started	key_resp.started	grating.stopped	trial.stopped	key_resp.keys	key_resp.corr	key_resp.rt	key_resp.duration	tilt	participant	session	date	expName	psychopyVersion	frameRate	expStart
21	0	21	0	34.0269928		34.0152129	34.0269928	35.0273176	35.0273176	35.0273176	35.3269764	35.878516	down	1	0.847575	None	4	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
22	0	22	0	35.8935384		35.8811788	35.8935384	36.89364	36.89364	36.89364	37.1935996	37.2283578	up	0	0.3257688	None	1	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
23	0	23	0	37.2434911		37.2314333	37.2434911	38.2437172	38.2437172	38.2437172	38.543447	39.0118338	down	1	0.7619689	None	-4	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
24	0	24	0	39.0269606		39.0149995	39.0269606	40.0271856	40.0271856	40.0271856	40.3271381	40.4950359	up	0	0.4654968	None	1	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
25	0	25	0	40.5103683		40.4982829	40.5103683	41.5105184	41.5105184	41.5105184	41.8104279	42.1284834	up	0	0.6100704	None	1	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
26	0	26	0	42.1436213		42.1318083	42.1436213	43.143906	43.143906	43.143906	43.4438663	43.8784765	up	1	0.7265141	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
27	0	27	0	43.8935508		43.8817577	43.8935508	44.8938172	44.8938172	44.8938172	45.1936799	45.5115643	down	1	0.6029407	None	2	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
28	0	28	0	45.5272141		45.5135636	45.5272141	46.5272326	46.5272326	46.5272326	46.8271576	46.9951671	up	0	0.4629501	None	3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
29	0	29	0	47.0104052		46.9983132	47.0104052	48.010585	48.010585	48.010585	48.3105416	48.5788719	down	1	0.5665507	None	3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
30	0	30	0	48.5935473		48.5819566	48.5935473	49.59391	49.59391	49.59391	49.893896	50.1951128	up	1	0.5898706	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
31	0	31	0	50.2104459		50.1982529	50.2104459	51.2106555	51.2106555	51.2106555	51.5105549	51.6790364	up	1	0.4667954	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
32	0	32	0	51.6936917		51.6821903	51.6936917	52.6939569	52.6939569	52.6939569	52.9936909	53.0949904	up	0	0.3971782	None	1	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
33	0	33	0	53.1103952		53.0982545	53.1103952	54.1104745	54.1104745	54.1104745	54.4106453	54.9124336	up	1	0.7937355	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
34	0	34	0	54.9271487		54.915831	54.9271487	55.9274409	55.9274409	55.9274409	56.2271759	56.3619315	up	0	0.4175972	None	3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
35	0	35	0	56.3771426		56.3649474	56.3771426	57.3774002	57.3774002	57.3774002	57.6771584	58.1289552	up	1	0.7488501	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
36	0	36	0	58.1436804		58.1329066	58.1436804	59.1440045	59.1440045	59.1440045	59.4437793	59.7615941	up	1	0.6069885	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
37	0	37	0	59.7772019		59.7646047	59.7772019	60.777279	60.777279	60.777279	61.0786759	61.4118109	up	0	0.6198204	None	-2	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
38	0	38	0	61.4271318		61.4148984	61.4271318	62.427379	62.427379	62.427379	62.7272176	62.8785801	down	1	0.4472641	None	-5	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
