word,colour,stim_condition,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,text.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
RED,red,C,r,0,0,0,0,0,0,0,0,0.09910080023109913,,0.06332860002294183,0.09910080023109913,0.5093435999006033,0.5093435999006033,0.6101289000362158,5.008194299880415,151.0396555000916,r,1,9.118357099592686,None,,,,,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
RED,red,C,r,0,0,0,0,1,0,1,0,151.0578526002355,,151.041801400017,151.0578526002355,151.5409013000317,151.5409013000317,151.55756019987166,156.0409901002422,164.8149007000029,r,1,-128.13015270000324,None,,,,,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
RED,red,C,r,0,0,0,0,2,0,2,0,164.82428420009091,,164.8155895001255,164.82428420009091,165.3242754000239,165.3242754000239,165.3242754000239,,168.6677675000392,b,0,None,None,,,,,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
RED,red,C,r,0,0,0,0,3,0,3,0,168.67436480009928,,168.66895110020414,168.67436480009928,169.17432720027864,169.17432720027864,169.17432720027864,,169.61523400014266,b,0,None,None,,,,,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
RED,red,C,r,0,0,0,0,4,0,4,0,169.62464680010453,,169.61628649989143,169.62464680010453,170.12455460010096,170.12455460010096,170.12455460010096,174.62454070011154,176.15162590006366,r,1,-135.37699160026386,None,,,,,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
RED,red,C,r,0,0,0,0,,,,,,,,,,,,,,,,,,176.1522514000535,176.15714769996703,177.15768299996853,177.14702859986573,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
RED,blue,I,b,0,1,1,1,0,0,0,0,177.15768299996853,,177.1486287000589,177.15768299996853,177.65748050017282,177.65748050017282,177.65748050017282,182.15750729991123,190.78164080018178,b,1,-128.28002320043743,None,,,,,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
RED,blue,I,b,0,1,1,1,1,0,1,0,190.79081270005554,,190.78292910009623,190.79081270005554,191.2904949001968,191.2904949001968,191.2904949001968,,192.181517300196,b,1,-140.51501940004528,None,,,,,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
RED,blue,I,b,0,1,1,1,2,0,2,0,192.19097090000287,,192.1825375002809,192.19097090000287,192.6909803999588,192.6909803999588,192.6909803999588,,193.63429940026253,b,1,-140.460864700377,None,,,,,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
RED,blue,I,b,0,1,1,1,3,0,3,0,193.642120399978,,193.63502239994705,193.642120399978,194.14121859986335,194.14121859986335,194.15783130005002,198.64066429995,208.33234409987926,b,1,-127.21265630051494,None,,,,,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
RED,blue,I,b,0,1,1,1,4,0,4,0,208.34115240024403,,208.33314329991117,208.34115240024403,208.84130340022966,208.84130340022966,208.84130340022966,213.3408428998664,231.66479660011828,r,0,-118.58081049984321,None,,,,,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
RED,blue,I,b,0,1,1,1,,,,,,,,,,,,,,,,,,231.66543570021167,231.67396529996768,232.69108120026067,232.66409899992868,317953,001,2024-08-16_11h37.52.338,stroop effect,2024.1.5,None,2024-08-16 11h38.03.793256 +0530,
