word,colour,stim_condition,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,text.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
RED,blue,I,b,0,0,0,1,0,0,0,0,0.04168269969522953,,0.020135399885475636,0.04168269969522953,0.5133842998184264,0.5133842998184264,0.5514237000606954,5.009494400117546,62.151406600140035,r,0,None,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
RED,blue,I,b,0,0,0,1,1,0,1,0,62.17429960006848,,62.15259520011023,62.17429960006848,62.65748029993847,62.65748029993847,62.674309900030494,67.15743539994583,73.3159432997927,r,0,None,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
RED,blue,I,b,0,0,0,1,2,0,2,0,73.32407849980518,,73.31700229970738,73.32407849980518,73.82378179999068,73.82378179999068,73.82378179999068,,74.9481819998473,r,0,None,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
RED,blue,I,b,0,0,0,1,3,0,3,0,74.9576996001415,,74.94918649969622,74.9576996001415,75.4577938998118,75.4577938998118,75.4577938998118,79.95704319979995,89.58440229995176,r,0,None,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
RED,blue,I,b,0,0,0,1,4,0,4,0,89.60729350009933,,89.58602970000356,89.60729350009933,90.0903587997891,90.0903587997891,90.10759950010106,,91.14858809998259,r,0,-51.29585110023618,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
RED,blue,I,b,0,0,0,1,,,,,,,,,,,,,,,,,,91.14933429984376,91.15752699971199,92.17414689995348,92.14921439997852,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
BLUE,red,I,r,0,1,1,2,0,0,0,0,92.17414689995348,,92.15103389974684,92.17414689995348,92.67460269993171,92.67460269993171,92.69013179978356,97.15757900010794,101.89904480008408,b,0,None,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
BLUE,red,I,r,0,1,1,2,1,0,1,0,101.90739340009168,,101.90037139970809,101.90739340009168,102.40676849987358,102.40676849987358,102.40676849987358,,103.49975279998034,b,0,-51.27577910013497,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
BLUE,red,I,r,0,1,1,2,2,0,2,0,103.50805269973353,,103.50109099969268,103.50805269973353,104.00679269991815,104.00679269991815,104.00679269991815,,107.61768639972433,b,0,-48.74618350015953,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
BLUE,red,I,r,0,1,1,2,3,0,3,0,107.64071850012988,,107.6193443001248,107.64071850012988,108.1244314997457,108.1244314997457,108.14082199987024,112.6242170999758,123.73194049997255,b,0,None,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
BLUE,red,I,r,0,1,1,2,4,0,4,0,123.74108819989488,,123.73312389990315,123.74108819989488,124.24059000005946,124.24059000005946,124.24059000005946,128.7405526000075,130.4508496997878,b,0,None,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
BLUE,red,I,r,0,1,1,2,,,,,,,,,,,,,,,,,,130.45163659984246,130.45677840011194,131.47399559989572,131.44684839993715,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
RED,red,C,r,0,2,2,0,0,0,0,0,131.47399559989572,,131.4484199997969,131.47399559989572,131.95679900003597,131.95679900003597,131.97367780003697,136.45730659971014,141.2310184999369,r,1,None,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
RED,red,C,r,0,2,2,0,1,0,1,0,141.24087819969282,,141.23294949997216,141.24087819969282,141.74071320006624,141.74071320006624,141.74071320006624,,142.74724170006812,r,1,None,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
RED,red,C,r,0,2,2,0,2,0,2,0,142.75711939996108,,142.748744700104,142.75711939996108,143.25713740009815,143.25713740009815,143.25713740009815,147.75752029987052,148.0353405997157,r,1,None,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
RED,red,C,r,0,2,2,0,3,0,3,0,148.05678709968925,,148.03635190008208,148.05678709968925,148.54105219990015,148.54105219990015,148.55749939987436,,148.7199734998867,r,1,None,None,,,,,756051,001,2024-08-16_11h39.28.425,stroop effect,2024.1.5,None,2024-08-16 11h39.32.803752 +0530,
,,,,,,,,,,,,148.74067689990625,,148.72155730007216,148.74067689990625,149.22508249990642,149.22508249990642,149.24103849986568,153.72435860009864,,,,,,,,,,,,,,,,,
